Episdoe: 404,  Total Steps: 32320,  Num Updates: 29652
Episdoe: 405,  Total Steps: 32400,  Num Updates: 29732
Episdoe: 406,  Total Steps: 32480,  Num Updates: 29812
Episdoe: 407,  Total Steps: 32560,  Num Updates: 29892
Episdoe: 408,  Total Steps: 32640,  Num Updates: 29972
Episdoe: 409,  Total Steps: 32720,  Num Updates: 30052
Episdoe: 410,  Total Steps: 32800,  Num Updates: 30132
Episdoe: 411,  Total Steps: 32880,  Num Updates: 30212
Episdoe: 412,  Total Steps: 32960,  Num Updates: 30292
Episdoe: 413,  Total Steps: 33040,  Num Updates: 30372
Episdoe: 414,  Total Steps: 33120,  Num Updates: 30452
Episdoe: 415,  Total Steps: 33200,  Num Updates: 30532
Episdoe: 416,  Total Steps: 33280,  Num Updates: 30612
Episdoe: 417,  Total Steps: 33360,  Num Updates: 30692
Episdoe: 418,  Total Steps: 33440,  Num Updates: 30772
Episdoe: 419,  Total Steps: 33520,  Num Updates: 30852
Episdoe: 420,  Total Steps: 33600,  Num Updates: 30932
Episdoe: 421,  Total Steps: 33680,  Num Updates: 31012
Episdoe: 422,  Total Steps: 33760,  Num Updates: 31092
Episdoe: 423,  Total Steps: 33840,  Num Updates: 31172
Episdoe: 424,  Total Steps: 33920,  Num Updates: 31252
Episdoe: 425,  Total Steps: 34000,  Num Updates: 31332
Episdoe: 426,  Total Steps: 34080,  Num Updates: 31412
Episdoe: 427,  Total Steps: 34160,  Num Updates: 31492
Episdoe: 428,  Total Steps: 34240,  Num Updates: 31572
Episdoe: 429,  Total Steps: 34320,  Num Updates: 31652
Episdoe: 430,  Total Steps: 34400,  Num Updates: 31732
Episdoe: 431,  Total Steps: 34480,  Num Updates: 31812
Episdoe: 432,  Total Steps: 34560,  Num Updates: 31892
Episdoe: 433,  Total Steps: 34640,  Num Updates: 31972
Episdoe: 434,  Total Steps: 34720,  Num Updates: 32052
Episdoe: 435,  Total Steps: 34800,  Num Updates: 32132
Episdoe: 436,  Total Steps: 34880,  Num Updates: 32212
Episdoe: 437,  Total Steps: 34960,  Num Updates: 32292
Episdoe: 438,  Total Steps: 35040,  Num Updates: 32372
Episdoe: 439,  Total Steps: 35120,  Num Updates: 32452
Episdoe: 440,  Total Steps: 35200,  Num Updates: 32532
Episdoe: 441,  Total Steps: 35280,  Num Updates: 32612
Episdoe: 442,  Total Steps: 35360,  Num Updates: 32692
Episdoe: 443,  Total Steps: 35440,  Num Updates: 32772
Episdoe: 444,  Total Steps: 35520,  Num Updates: 32852
Episdoe: 445,  Total Steps: 35600,  Num Updates: 32932
Episdoe: 446,  Total Steps: 35680,  Num Updates: 33012
Episdoe: 447,  Total Steps: 35760,  Num Updates: 33092
Episdoe: 448,  Total Steps: 35840,  Num Updates: 33172
Episdoe: 449,  Total Steps: 35920,  Num Updates: 33252
Episdoe: 450,  Total Steps: 36000,  Num Updates: 33332
Episdoe: 451,  Total Steps: 36080,  Num Updates: 33412
Episdoe: 452,  Total Steps: 36160,  Num Updates: 33492
Episdoe: 453,  Total Steps: 36240,  Num Updates: 33572
